step	nsus	ninf	nrec	ninfcum
1	299973	27	0	27
2	299948	52	0	52
3	299882	108	10	118
4	299764	209	27	236
5	299538	410	52	462
6	299086	796	118	914
7	298240	1524	236	1760
8	296565	2973	462	3435
9	293450	5636	914	6550
10	287686	10554	1760	12314
11	277941	18624	3435	22059
12	262738	30712	6550	37262
13	243341	44345	12314	56659
14	224043	53898	22059	75957
15	209021	53717	37262	90979
16	199271	44070	56659	100729
17	192414	31629	75957	107586
18	186431	22590	90979	113569
19	180182	19089	100729	119818
20	173035	19379	107586	126965
21	164864	21567	113569	135136
22	155675	24507	119818	144325
23	145994	27041	126965	154006
24	135971	28893	135136	164029
25	126022	29653	144325	173978
26	116305	29689	154006	183695
27	107092	28879	164029	192908
28	98578	27444	173978	201422
29	90598	25707	183695	209402
30	83520	23572	192908	216480
31	77131	21447	201422	222869
32	71508	19090	209402	228492
33	66797	16723	216480	233203
34	62672	14459	222869	237328
35	59416	12092	228492	240584
36	56808	9989	233203	243192
37	54672	8000	237328	245328
38	52949	6467	240584	247051
39	51607	5201	243192	248393
40	50547	4125	245328	249453
41	49758	3191	247051	250242
42	49137	2470	248393	250863
43	48679	1868	249453	251321
44	48342	1416	250242	251658
45	48089	1048	250863	251911
46	47905	774	251321	252095
47	47757	585	251658	252243
48	47661	428	251911	252339
49	47572	333	252095	252428
50	47530	227	252243	252470
